X,Y,Target
-5.819848,28.989664,1
13.945743,7.015651,0
-7.805122,-11.696469,1
3.9769359,19.574188,1
-7.634927,41.491207,1
47.55798,-7.3440576,1
4.2027593,20.397936,0
-7.486954,40.597572,1
4.360171,19.837204,0
-23.713163,-32.10958,0
15.643646,5.0763655,0
-20.207447,-10.456401,1
23.742361,2.7322412,1
-8.108758,14.759948,1
17.958372,8.693358,0
-9.516518,-12.098986,1
-20.02614,-11.824375,1
-6.7611995,31.905191,0
54.683838,25.666168,1
54.683838,25.666168,1
14.343186,3.2014747,1
-24.447802,14.662362,1
-7.835028,40.753067,1
39.986332,-20.526125,1
-0.5129936,-16.716013,1
49.162556,-7.857166,0
40.6257,-20.932442,1
42.125366,-7.438579,1
-27.63753,14.771511,0
21.291912,4.061464,1
45.351738,-7.3962913,1
-20.924913,-24.084545,0
-22.239548,-34.362934,0
4.539624,23.547865,1
20.333906,-1.1520774,1
35.329636,-22.66311,1
47.047028,-6.4975443,0
47.047028,-6.4975443,1
19.685823,7.955669,0
-32.86463,10.656469,1
-17.6857,-8.8587885,0
-12.458795,-18.248863,1
-4.531776,30.609293,0
-14.265188,-28.335182,0
18.643587,6.902729,1
-5.1027784,2.767125,1
4.3570857,20.032373,1
-31.455507,10.671709,1
17.581987,8.420439,1
49.002106,-6.879305,1
36.81528,-11.874546,1
-4.0386715,9.8315,1
18.126675,7.374706,1
37.1306,-11.693078,1
-13.076991,-17.916828,0
14.67974,5.7588806,1
-19.85726,16.23835,0
-7.488105,-44.95433,1
-16.889225,-8.105593,1
3.966518,19.815405,0
-4.332351,18.195126,0
4.3984094,19.952408,1
17.552654,2.2442985,0
36.81528,-11.874546,1
37.171173,-11.812827,1
2.4743428,11.598847,0
36.906788,-11.6308155,0
18.186552,5.888629,1
29.457163,2.8477163,1
3.9352872,19.882992,0
41.990726,-7.374469,1
-8.516149,41.07245,1
-4.215042,18.007645,1
-7.6193557,-23.475142,0
34.190517,-10.264131,1
-6.2644835,23.11086,0
-7.26064,23.853458,1
29.987196,2.4428453,1
-17.199106,-34.330467,1
-3.6649406,14.471685,1
-13.665641,13.8548975,0
-4.307961,20.011251,1
-4.355985,6.4039173,0
-3.4688606,16.217838,1
-18.790388,-9.090872,1
-17.203592,-8.193051,0
-7.98067,-41.809036,1
56.01699,26.645782,0
2.8928647,-15.333611,1
24.115623,35.578884,1
-27.901627,25.084705,1
-16.89312,13.854536,1
5.7742753,-19.588224,1
-19.75673,15.783117,1
-4.5656185,32.14369,1
-7.12351,23.244595,0
-5.863291,30.200636,0
-6.3557625,23.924639,1
-13.126191,32.739513,1
54.683838,25.666168,1
55.115707,27.13706,1
46.89729,-8.120536,1
34.189003,-10.26349,1
6.3791285,-7.921057,1
6.5502505,-19.658636,0
-7.9487047,-42.08094,1
-23.893389,-13.971831,0
-14.450113,-27.906301,1
-32.60431,11.0077505,1
-13.109501,32.525124,1
-28.123499,24.560701,1
-27.584715,23.401342,1
-21.398726,-33.785988,1
-18.482819,-35.26783,0
-25.047888,20.486183,1
-14.376109,-29.384169,0
-4.445047,30.789637,1
56.01699,26.645782,1
-6.926583,22.487371,0
-21.50113,-24.44337,0
-4.1929708,3.6907825,0
13.848325,7.2600884,0
-22.305473,-33.78199,0
-12.288356,-18.635014,1
56.01699,26.645782,0
-8.335059,-26.901115,1
-10.170526,-17.420776,1
-19.95946,-32.92513,0
-5.209878,41.50226,1
-28.250006,25.371443,1
40.32123,-22.547276,1
23.74916,0.15055636,1
-10.162231,7.825407,0
-16.361734,13.428917,0
-8.134339,34.3342,0
-18.685541,12.69574,1
22.556469,3.2216191,0
56.01699,26.645782,1
18.166977,7.983086,0
-10.293059,19.004622,0
40.53931,-22.571285,1
2.5026932,18.307175,0
47.782288,-5.9850774,1
13.117574,2.4391463,0
-4.2513943,-45.27118,1
-10.521843,-12.453984,1
-19.014305,-13.150057,1
-5.983964,20.524431,0
-19.710567,-16.581718,1
-10.183401,-24.697996,1
-5.3982744,-11.397984,1
-8.118071,-40.81199,1
-11.421404,29.959625,1
-25.691877,18.991413,1
-16.109455,-32.022774,1
-25.88185,19.354763,1
5.5805883,-16.182615,0
-23.131758,-35.10555,0
-18.817541,-32.46727,1
-4.1261425,3.738137,1
-10.343349,19.91015,1
-12.905842,-28.63696,1
14.110318,-0.8622188,0
1.6455078,11.927845,1
-16.792513,-8.558266,0
-20.10696,-33.21234,1
56.01699,26.645782,0
-27.715078,24.520046,1
6.6310577,-20.341314,1
41.93933,-6.613282,1
6.8119464,-23.144045,1
-32.08927,10.858745,1
-22.965946,14.770235,1
-9.820084,-24.477144,1
-16.111874,-32.57934,0
-10.622797,-23.75884,1
